Categoría,Descripción,Cantidad,Precio
"Material Publicitario","Camisetas",,
"Material Publicitario","Welcome Bag",,
"Material Publicitario","Staff",,
"Material Publicitario","Voluntarios",,
"Material Publicitario","Ponentes",,
"Material Publicitario","Rollups",,
"Material Publicitario","Publicidad",,
"Material Publicitario","Pauta",,
"Material Publicitario","Stickeres",,
"Material Publicitario","Espacio de Espónsores",,
"Material Publicitario","Estación de Foto",,
"Material Publicitario","Background",,
"Material Publicitario","Letras corpóreas",,
"Reconocimientos","Premios",,
"Reconocimientos","Dinámica publicitaria",,
"Reconocimientos","Esponsóres",,
"Reconocimientos","Certificados",,
"Reconocimientos","Voluntarios",,
"Reconocimientos","Ponentes",,
"Reconocimientos","Infraestructura",,
"Reconocimientos","OpenBadge",,
"Integración y Networking","After",,
"Integración y Networking","Bebidas",,
"Integración y Networking","Comestibles",,
"Logística","Gafetes",,
"Logística","Participantes",,
"Logística","Staff",,
"Logística","Voluntarios",,
"Logística","Ponentes",,
"Logística","Espónsores",,
"Logística","Viáticos",,
"Logística","Refrigerios",,
"Logística","CoffeeBreak",,
"Logística","Hidratación",,
"Logística","Infraestructura",,
"Logística","Cables",,
"Logística","HDMI",,
"Logística","USB-C",,
"Logística","USB-A",,
"Logística","microUSB-A",,
"Logística","Pilas",,
"Logística","Regletas",,
"Logística","Apuntador",,
"Logística","Dominio",,
